trade_num,entry_time,exit_time,symbol,side,entry,sl,tp,exit,outcome,sl_pips,r_multiple,risk_amount,pnl,balance,bars_held,comment
1,2025-01-16 07:25:00,2025-01-16 07:30:00,EURUSD,SELL,1.02899,1.02915,1.0286700000000002,1.0286700000000002,WIN,15.999999999993795,2.0,50.0,100.0,10100.0,1,Bearish ICT: Sweep+BOS+FVG (Disp=75.0p)
2,2025-01-20 08:40:00,2025-01-20 08:45:00,EURUSD,BUY,1.03156,1.0311499999999998,1.0323800000000005,1.0323800000000005,WIN,41.00000000002435,2.0,50.5,101.0,10201.0,1,Bullish ICT: Sweep+BOS+FVG (Disp=666.0p)
3,2025-01-20 08:45:00,2025-01-20 08:50:00,EURUSD,BUY,1.03156,1.0311499999999998,1.0323800000000005,1.0323800000000005,WIN,41.00000000002435,2.0,51.005,102.01,10303.01,1,Bullish ICT: Sweep+BOS+FVG (Disp=666.0p)
4,2025-01-29 08:15:00,2025-01-29 08:20:00,EURUSD,SELL,1.03999,1.0405200000000001,1.0389299999999997,1.0389299999999997,WIN,53.00000000001414,2.0,51.51505,103.0301,10406.0401,1,Bearish ICT: Sweep+BOS+FVG (Disp=157.0p)
5,2025-01-29 08:20:00,2025-01-29 08:25:00,EURUSD,SELL,1.03999,1.0405200000000001,1.0389299999999997,1.0389299999999997,WIN,53.00000000001414,2.0,52.0302005,104.060401,10510.100501,1,Bearish ICT: Sweep+BOS+FVG (Disp=157.0p)
6,2025-02-05 08:25:00,2025-02-05 08:30:00,EURUSD,SELL,1.04209,1.04224,1.0417899999999998,1.0417899999999998,WIN,15.000000000009448,2.0,52.550502505000004,105.10100501000001,10615.20150601,1,Bearish ICT: Sweep+BOS+FVG (Disp=77.0p)
7,2025-02-05 08:30:00,2025-02-05 08:35:00,EURUSD,SELL,1.04209,1.04224,1.0417899999999998,1.0417899999999998,WIN,15.000000000009448,2.0,53.07600753005,106.1520150601,10721.353521070101,1,Bearish ICT: Sweep+BOS+FVG (Disp=77.0p)
8,2025-02-18 07:30:00,2025-02-18 07:45:00,EURUSD,SELL,1.04624,1.04654,1.0456400000000001,1.0456400000000001,WIN,29.999999999996692,2.0,53.606767605350505,107.21353521070101,10828.567056280803,3,Bearish ICT: Sweep+BOS+FVG (Disp=64.0p)
9,2025-02-18 07:35:00,2025-02-18 07:45:00,EURUSD,SELL,1.04624,1.04654,1.0456400000000001,1.0456400000000001,WIN,29.999999999996692,2.0,54.14283528140402,108.28567056280804,10936.85272684361,2,Bearish ICT: Sweep+BOS+FVG (Disp=64.0p)
10,2025-02-21 09:50:00,2025-02-21 10:05:00,EURUSD,BUY,1.04772,1.0471,1.0489600000000001,1.0471,LOSS,62.00000000000649,-1.0,54.68426363421805,-54.68426363421805,10882.168463209391,3,Bullish ICT: Sweep+BOS+FVG (Disp=105.0p)
11,2025-02-21 09:55:00,2025-02-21 10:05:00,EURUSD,BUY,1.04772,1.0471,1.0489600000000001,1.0471,LOSS,62.00000000000649,-1.0,54.41084231604696,-54.41084231604696,10827.757620893344,2,Bullish ICT: Sweep+BOS+FVG (Disp=105.0p)
12,2025-03-28 07:40:00,2025-03-28 08:05:00,EURUSD,BUY,1.07738,1.0764799999999999,1.0791800000000003,1.0791800000000003,WIN,90.00000000001228,2.0,54.13878810446672,108.27757620893344,10936.035197102277,5,Bullish ICT: Sweep+BOS+FVG (Disp=106.0p)
13,2025-03-28 07:50:00,2025-03-28 08:05:00,EURUSD,BUY,1.07738,1.0764799999999999,1.0791800000000003,1.0791800000000003,WIN,90.00000000001228,2.0,54.68017598551139,109.36035197102278,11045.3955490733,3,Bullish ICT: Sweep+BOS+FVG (Disp=106.0p)
14,2025-04-09 13:30:00,2025-04-09 13:35:00,EURUSD,SELL,1.10171,1.10417,1.0967899999999997,1.0967899999999997,WIN,246.00000000001285,2.0,55.226977745366504,110.45395549073301,11155.849504564034,1,Bearish ICT: Sweep+BOS+FVG (Disp=550.0p)
15,2025-04-09 13:35:00,2025-04-09 14:00:00,EURUSD,SELL,1.10171,1.10417,1.0967899999999997,1.0967899999999997,WIN,246.00000000001285,2.0,55.77924752282017,111.55849504564034,11267.407999609673,5,Bearish ICT: Sweep+BOS+FVG (Disp=550.0p)
16,2025-04-16 13:35:00,2025-04-16 13:40:00,EURUSD,BUY,1.13683,1.1367099999999999,1.1370700000000002,1.1370700000000002,WIN,12.000000000012,2.0,56.33703999804837,112.67407999609674,11380.08207960577,1,Bullish ICT: Sweep+BOS+FVG (Disp=148.0p)
17,2025-04-16 13:40:00,2025-04-16 13:45:00,EURUSD,BUY,1.13683,1.1367099999999999,1.1370700000000002,1.1370700000000002,WIN,12.000000000012,2.0,56.90041039802885,113.8008207960577,11493.882900401828,1,Bullish ICT: Sweep+BOS+FVG (Disp=148.0p)
18,2025-04-18 07:45:00,2025-04-18 07:50:00,EURUSD,BUY,1.13746,1.13719,1.138,1.138,WIN,26.999999999999243,2.0,57.469414502009144,114.93882900401829,11608.821729405847,1,Bullish ICT: Sweep+BOS+FVG (Disp=58.0p)
19,2025-04-18 07:50:00,2025-04-18 07:55:00,EURUSD,BUY,1.13746,1.13719,1.138,1.138,WIN,26.999999999999243,2.0,58.04410864702923,116.08821729405847,11724.909946699905,1,Bullish ICT: Sweep+BOS+FVG (Disp=58.0p)
20,2025-04-29 08:40:00,2025-04-29 08:45:00,EURUSD,BUY,1.13753,1.1370399999999998,1.1385100000000001,1.1385100000000001,WIN,49.00000000001014,2.0,58.62454973349953,117.24909946699906,11842.159046166904,1,Bullish ICT: Sweep+BOS+FVG (Disp=142.0p)
21,2025-04-29 08:45:00,2025-04-29 08:50:00,EURUSD,BUY,1.13753,1.1370399999999998,1.1385100000000001,1.1385100000000001,WIN,49.00000000001014,2.0,59.21079523083452,118.42159046166904,11960.580636628572,1,Bullish ICT: Sweep+BOS+FVG (Disp=142.0p)
22,2025-05-07 14:00:00,2025-05-07 14:05:00,EURUSD,BUY,1.13392,1.1335799999999998,1.1346000000000005,1.1346000000000005,WIN,34.0000000000229,2.0,59.80290318314286,119.60580636628572,12080.186442994858,1,Bullish ICT: Sweep+BOS+FVG (Disp=128.0p)
23,2025-05-07 14:05:00,2025-05-07 14:10:00,EURUSD,BUY,1.13392,1.1335799999999998,1.1346000000000005,1.1346000000000005,WIN,34.0000000000229,2.0,60.40093221497429,120.80186442994858,12200.988307424806,1,Bullish ICT: Sweep+BOS+FVG (Disp=128.0p)
24,2025-05-23 07:50:00,2025-05-23 07:55:00,EURUSD,SELL,1.13624,1.13724,1.1342399999999997,1.1342399999999997,WIN,100.00000000001118,2.0,61.00494153712403,122.00988307424807,12322.998190499055,1,Bearish ICT: Sweep+BOS+FVG (Disp=655.0p)
25,2025-05-23 07:55:00,2025-05-23 08:00:00,EURUSD,SELL,1.13624,1.13724,1.1342399999999997,1.1342399999999997,WIN,100.00000000001118,2.0,61.614990952495276,123.22998190499055,12446.228172404046,1,Bearish ICT: Sweep+BOS+FVG (Disp=655.0p)
26,2025-05-30 08:10:00,2025-05-30 08:15:00,EURUSD,BUY,1.13304,1.1325999999999998,1.1339200000000005,1.1339200000000005,WIN,44.00000000002179,2.0,62.23114086202023,124.46228172404047,12570.690454128086,1,Bullish ICT: Sweep+BOS+FVG (Disp=87.0p)
27,2025-05-30 08:15:00,2025-05-30 08:20:00,EURUSD,BUY,1.13304,1.1325999999999998,1.1339200000000005,1.1339200000000005,WIN,44.00000000002179,2.0,62.85345227064043,125.70690454128086,12696.397358669366,1,Bullish ICT: Sweep+BOS+FVG (Disp=87.0p)
28,2025-06-17 08:45:00,2025-06-17 10:15:00,EURUSD,SELL,1.15645,1.1573300000000002,1.1546899999999996,1.1546899999999996,WIN,88.00000000002139,2.0,63.481986793346834,126.96397358669367,12823.36133225606,18,Bearish ICT: Sweep+BOS+FVG (Disp=113.0p)
29,2025-06-17 08:50:00,2025-06-17 10:15:00,EURUSD,SELL,1.15645,1.1573300000000002,1.1546899999999996,1.1546899999999996,WIN,88.00000000002139,2.0,64.1168066612803,128.2336133225606,12951.59494557862,17,Bearish ICT: Sweep+BOS+FVG (Disp=113.0p)
30,2025-06-19 07:35:00,2025-06-19 08:05:00,EURUSD,BUY,1.14741,1.14682,1.1485900000000002,1.1485900000000002,WIN,59.00000000000904,2.0,64.7579747278931,129.5159494557862,13081.110895034406,6,Bullish ICT: Sweep+BOS+FVG (Disp=97.0p)
31,2025-06-19 07:40:00,2025-06-19 08:05:00,EURUSD,BUY,1.14741,1.14682,1.1485900000000002,1.1485900000000002,WIN,59.00000000000904,2.0,65.40555447517202,130.81110895034405,13211.92200398475,5,Bullish ICT: Sweep+BOS+FVG (Disp=97.0p)
